Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
22,0.2,2.4,0.91,23,14,224,4.1,2,0,1.3
160,15,2,0.55,12,7,485,8.5,6.7,0,0.7
89,0.3,1.1,0.26,5,1,358,23,2.6,0,12
250,1.5,10,2.76,20,439,165,49,4.1,0,6.1
349,0.4,14,6.8,190,298,77,77,13,0,46
25,0.5,3.8,1.27,118,56,343,3.1,2.8,0,0.6
362,2.7,7.5,1.8,33,4,268,76,3.4,0,0
32,0.3,3,0.72,32,259,278,6.3,3.3,0,0
331,24,20,0.84,497,966,363,8.3,0,0,0
2,0,0.3,0.02,2,1,50,0.2,0,0,0
97,1.4,3.3,0.55,2,253,3.3,22,2.7,0,7.7
556,32,5.5,2.13,30,6,502,60,6.5,0,48
93,2.1,5.6,2.63,363,9,272,17,11,0,6.3
97,6.9,3.8,0.12,169,52,178,5.2,0,0,0
553,44,18,6.68,37,12,660,30,3.3,0,5.9
40,0.1,1.1,0.21,23,4,146,9.3,1.7,0,4.2
97,0.2,1.5,0.8,161,3,212,25,11,0,0
71,0.7,2.2,0.91,13,381,192,14,0.9,0,4
57,0.1,0.4,0.18,9,1,116,15,3.1,0,9.8
81,0.4,5.4,1.47,25,5,244,14,5.7,0,5.7
411,17,46,8.57,500,329,1129,19,7.1,200,5.7
18,0.1,0.7,0.57,15,237,230,4.3,1.1,0,2.1
187,9.3,16,1,17,402,178,9.4,0,0,0
184,6.3,30,1.31,10,50,323,0,0,0,0
298,14,12,2.14,146,692,199,30,1.8,0,3.2
276,11,11,2.47,192,580,170,33,2.1,0,2.5
289,14,3.5,0.91,17,357,545,37,3.9,0,0.3
292,15,18,0.62,13,859,315,20,1.3,0,0
256,12,13,2.78,92,660,178,25,1.4,0,0
257,12,15,1.32,92,605,256,23,1.2,0,5
426,23,5.2,1.06,60,402,102,51,1.5,0,32
452,25,4.9,4,24,326,201,51,1.9,0,27
381,1.4,2,0.8,18,286,110,90,2.5,0,65
429,9.5,13,2.28,11,490,241,73,14,0,0.5
168,3.7,4.5,8,0.7,94,76,29,0.9,0,0.1
156,1.7,5,17.2,4,207,63,30.2,2.1,0,0.74
130,1.5,2.6,3.16,1,201,117,26.9,1.1,0,0.5
297,7.5,11,3.01,93,409,266,46,4.9,0,2.7
16,0.2,1.2,0.47,5,42,212,3.2,0.9,0,2.63
60,4,3.1,0.08,183,70,234,7,0,1,7
407,6.2,4.4,3.81,17,457,51,84,2.9,0,55
108,0.2,1.8,0.14,4,19,4,24,1,0,0
188,7.2,4.4,24,6.4,522,91,26.4,2.2,0,0.24
151,2.4,9,37.4,3.4,438,180,29.3,1,0,1.35
109,8.5,2.1,35.2,8.3,243,366,6.3,1.5,0,3.29
579,50,21,3.71,269,1,733,22,13,0,4.4
22,0.3,3.1,0.5,3,5,318,3.3,1,7,2
196,15,14,1.89,62,207,152,0.8,0,88,0.4
76,0.1,1.4,0.72,27,27,230,18,2.5,0,5.7
87,0.1,1.9,0.31,5,240,379,20,2,0,0.9
360,0.6,6.6,4.36,9,1,86,79,1.4,0,0
45,0.2,0.7,0.2,11,1,200,10,0.2,0,8.4
73,1.9,10,0.04,115,34,141,3.9,0,0,3.6
40,0.9,3.2,0.88,10,1,92,11,2.6,0,0
1,0,0.2,0.02,0,1,0.2,0,0,0,0
486,31,17,7.72,631,16,407,42,34,0,0
95,4.2,11,0.1,56,403,86,3,0.1,0,0.4
127,4.4,21,0.38,7,75,366,0,0,435,0
384,0.9,5.9,19.4,2,571,107,88,2.7,286,7.8
